#time,         mh_index = 0,  mh_index = 1,  mh_index = 2,  mh_index = 3,  mh_index = 4,  mh_index = 5,  mh_index = 6,  mh_index = 7,  mh_index = 8,  mh_index = 9,  mh_index = 10, mh_index = 11, mh_index = 12, mh_index = 13, mh_index = 14, mh_index = 15, mh_index = 16, mh_index = 17, mh_index = 18, mh_index = 19, mh_index = 20  
0.0000E+00,    9.3809E-01,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
1.0000E+00,    9.1456E-01,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
2.0000E+00,    4.8103E-01,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
3.0100E+00,    0.0000E+00,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
4.0100E+00,    0.0000E+00,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
5.0100E+00,    0.0000E+00,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
6.0100E+00,    0.0000E+00,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
7.0100E+00,    0.0000E+00,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
8.0100E+00,    0.0000E+00,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
9.0100E+00,    0.0000E+00,    9.3806E-01,    9.3798E-01,    9.3784E-01,    9.3765E-01,    9.3740E-01,    9.3709E-01,    9.3672E-01,    9.3630E-01,    9.3581E-01,    9.3527E-01,    9.3466E-01,    9.3399E-01,    9.3325E-01,    9.3245E-01,    9.3159E-01,    9.3066E-01,    9.2966E-01,    9.2859E-01,    9.2746E-01,    9.2626E-01     
